id,course_id,skill_level,skill_level_jp,purpose,purpose_jp,learn_info,learn_info_jp,outcome,outcome_jp,price,price_jp,price_hk,price_in_points,created_at,updated_at
1,1,Beginner,ビギナー,"Understand the basic principles of Japanese interior design and spatial planning, including simplicity, natural materials, open space, light, balance, and functional room arrangements. The level helps learners become familiar with key Japanese design ideas and how they can be applied to simple interior spaces.",シンプルさ、自然素材、オープンスペース、光、バランス、機能的な部屋の配置など、日本のインテリアデザインと空間計画の基本原則を理解します。 このレベルは、学習者が重要な日本のデザインアイデアと、それらをシンプルなインテリア空間にどのように適用できるかに習熟するのに役立ち,"Learn the basic ideas of Japanese interior design and spatial planning, including simplicity, balance, natural materials, light, open space, and functionality. Learners study how rooms are organized, how furniture affects movement, and how empty space can be used effectively. The level introduces common Japanese interior elements, basic proportions, natural colors, simple forms, and the relationship between indoor and outdoor spaces. Learners also explore basic planning methods for living rooms, bedrooms, dining areas, and other residential spaces. Simple exercises help learners understand how to create calm and practical layouts while considering everyday activities, comfort, and available space.",,"Learners will be able to plan simple Japanese-inspired interiors using basic principles of space, light, natural materials, furniture placement, balance, and everyday functionality.",学習者は、空間、光、自然素材、家具の配置、バランス、日常の機能性の基本原則を使用して、シンプルな日本風のインテリアを計画することができます。,237,237,237,237,NULL,NULL
2,1,Intermediate,中級,"Develop the ability to apply Japanese interior design principles to residential spaces by planning room layouts, selecting suitable materials, arranging furniture, and considering lighting, circulation, and everyday use. The level focuses on turning basic design knowledge into practical interior planning decisions.",部屋のレイアウトを計画し、適切な材料を選択し、家具を配置し、照明、循環、日常使用を考慮することにより、日本のインテリアデザインの原則を住宅空間に適用する能力を開発します。 レベルは、実用的なインテリア計画の決定に基本的な設計知識を回すことに焦点を当てています。,"Learn how to apply Japanese interior design principles to complete residential spaces through practical planning and design decisions. Learners study furniture arrangement, circulation, storage, lighting, material combinations, color balance, proportions, and connections between different rooms. The level also introduces natural light, visual simplicity, flexible space, and the careful use of decorative elements. Learners work with basic floor plans and design references to develop more organized interior concepts. They learn how to adapt Japanese design ideas to modern lifestyles while maintaining a balanced and functional atmosphere. Practical projects help learners improve their ability to plan rooms and make independent choices about layout, materials, furniture, and lighting.",,"Learners will be able to create complete residential layouts using Japanese design principles while making practical decisions about furniture, lighting, storage, materials, circulation, and room relationships.",学習者は、家具、照明、保管、材料、循環、部屋の関係について実践的な意思決定を行いながら、日本のデザイン原則を使用して完全な住宅のレイアウトを作成することができます。,428,428,428,428,NULL,NULL
3,1,Advanced,アドバンスド,"Build advanced skills in developing complete Japanese-inspired interior concepts with greater attention to spatial relationships, material combinations, proportions, lighting, functionality, and connection with nature. Learners are expected to make independent design decisions and refine their concepts for more complex residential or hospitality spaces.",空間的な関係性、素材の組み合わせ、プロポーション、照明、機能性、自然とのつながりに大きな注意を払って、日本風のインテリアコンセプトを完全に開発するための高度なスキルを構築します。 学習者は、独立した設計上の決定を行い、より複雑な住宅やホスピタリティスペースのための彼らの概念を洗練することが期待されています。,"Learn advanced methods for developing complete Japanese-inspired interior concepts for more complex residential and hospitality spaces. Learners study detailed spatial relationships, circulation, proportions, material combinations, lighting strategies, furniture placement, storage solutions, and the connection between architecture and nature. The level explores how traditional Japanese ideas can be interpreted within contemporary interiors without relying on surface decoration alone. Learners examine private and shared spaces, transitions between rooms, visual rhythm, and the use of natural materials. Project work focuses on developing complete concepts, refining floor plans, selecting materials, creating mood boards, and explaining design decisions clearly through professional presentations.",,"Learners will be able to develop detailed Japanese-inspired interior concepts for complex spaces, combining spatial planning, materials, lighting, furniture, proportions, and indoor-outdoor relationships.",学習者は、空間計画、材料、照明、家具、プロポーション、屋内と屋外の関係を組み合わせて、複雑な空間のための詳細な日本風のインテリアコンセプトを開発することができます。,716,716,716,716,NULL,NULL
4,1,Expert,専門家,"Develop expert-level ability to create sophisticated Japanese-inspired spatial concepts while balancing cultural references, contemporary requirements, material quality, functionality, and visual identity. The level prepares learners to lead complex interior projects, develop original design directions, and make high-level creative and spatial decisions.",文化的な参照、現代的な要件、材料の品質、機能性、視覚的アイデンティティのバランスをとりながら、洗練された日本風の空間概念を作成する専門家レ レベルは、複雑なインテリアプロジェクトをリードし、オリジナルのデザインの方向性を開発し、高レベルの創造的で空間的な意思決定を行うために学習者を準備します。,"Develop expert-level knowledge for creating sophisticated Japanese-inspired interior and spatial design projects with a strong understanding of space, culture, materials, functionality, and contemporary living. Learners study how to develop original design directions rather than simply copying traditional Japanese interiors. Topics include complex spatial planning, material detailing, lighting concepts, indoor-outdoor relationships, custom furniture, cultural references, and high-level design refinement. Learners work with demanding project requirements and make independent decisions about atmosphere, function, proportions, and visual identity. The level also focuses on presenting a complete design concept clearly through plans, material selections, visual references, and professional documentation while maintaining a thoughtful connection between Japanese design principles and modern spatial needs.",,"Learners will be able to develop original and sophisticated Japanese-inspired interiors, making professional decisions about spatial planning, materials, cultural references, functionality, atmosphere, and contemporary design requirements.",学習者は、空間計画、材料、文化的参照、機能性、雰囲気、現代的なデザイン要件について専門的な意思決定を行い、オリジナルで洗練された日本風のインテリアを開発することができます。,1034,1034,1034,1034,NULL,NULL
5,2,Beginner,ビギナー,"Understand the basic principles of sustainable architecture, including responsible material selection, energy efficiency, natural light, ventilation, water use, and environmental considerations. The level introduces learners to the main factors that influence the sustainability and long-term performance of buildings.",責任ある材料の選択、エネルギー効率、自然光、換気、水の使用、環境への配慮など、持続可能な建築の基本原則を理解します。 このレベルでは、建物の持続可能性と長期的なパフォーマンスに影響を与える主な要因を学習者に紹介します。,"Learn the foundations of sustainable architecture, including energy efficiency, natural lighting, ventilation, water use, responsible material selection, durability, and environmental impact. Learners study how site conditions, climate, building orientation, and basic construction choices can influence the performance of a building. The level introduces common sustainable design approaches and helps learners understand the relationship between environmental responsibility, comfort, and architectural appearance. Learners also examine basic material properties and why some materials may be more suitable for particular projects. Simple examples and exercises help learners recognize sustainability opportunities during the early stages of architectural planning and understand how practical design decisions can reduce resource use while supporting comfortable and useful buildings.",,"Learners will be able to identify basic sustainable architecture principles and understand how materials, climate, energy, lighting, ventilation, water, and site conditions affect building performance.",学習者は、基本的な持続可能な建築の原則を特定し、材料、気候、エネルギー、照明、換気、水、および敷地条件が建物のパフォーマンスにどのように影響するかを理解することができます。,181,181,181,181,NULL,NULL
6,2,Intermediate,中級,"Develop the ability to apply sustainable design principles to architectural projects by comparing materials, considering site conditions, improving energy performance, and making practical decisions about building systems and resources. The level focuses on applying sustainability during the design process.",材料の比較、敷地条件の検討、エネルギー性能の向上、建築システムと資源に関する実践的な意思決定により、建築プロジェクトに持続可能な設計原則を適用する能力を開発する。 このレベルでは、設計プロセス中に持続可能性を適用することに焦点を当てています。,"Learn how to apply sustainable architecture principles to real building concepts by considering materials, site conditions, energy use, natural light, ventilation, water, and occupant comfort. Learners study how different materials can affect durability, maintenance, environmental impact, and overall building performance. The level introduces methods for comparing design options and making practical decisions based on project requirements. Learners also explore passive design strategies, climate response, building orientation, shading, and the relationship between indoor and outdoor conditions. Through practical exercises and project work, learners develop the ability to include sustainability during planning rather than treating it as an additional feature. The focus is on creating balanced architectural solutions that are environmentally responsible, functional, comfortable, and realistic.",,"Learners will be able to apply sustainable design principles when selecting materials, planning spaces, considering climate, improving energy performance, and balancing environmental responsibility with comfort and practical requirements.",学習者は、材料を選択し、スペースを計画し、気候を考慮し、エネルギー性能を改善し、快適さと実用的な要件と環境責任のバランスをとるときに、持続可能な設計原則を適用することができます。,467,467,467,467,NULL,NULL
7,2,Advanced,アドバンスド,"Build advanced skills in developing architectural concepts that integrate environmental performance, material efficiency, climate response, energy use, durability, and occupant comfort. Learners develop the ability to evaluate different design solutions and make informed sustainability decisions for more complex projects.",環境性能、材料効率、気候応答、エネルギー使用、耐久性、乗員の快適性を統合する建築概念の開発における高度なスキルを構築します。 学習者は、さまざまな設計ソリューションを評価し、より複雑なプロジェクトに対して情報に基づいた持続可能性の決定を行う能力を開発します。,"Learn advanced sustainable architecture methods for developing building concepts that respond to environmental conditions, resource use, material performance, energy efficiency, and long-term building needs. Learners examine more complex relationships between climate, site, orientation, building form, natural systems, materials, and occupant comfort. The level covers strategies for reducing energy demand, improving passive performance, selecting appropriate materials, and considering durability and maintenance. Learners also study how sustainability can influence architectural form and spatial organization rather than being limited to technical systems. Project exercises require learners to compare alternatives, evaluate trade-offs, and justify their design choices. The focus is on creating integrated architectural concepts that balance environmental performance, functionality, aesthetics, cost, and long-term use.",,"Learners will be able to develop integrated sustainable architectural concepts that consider environmental performance, material efficiency, climate response, energy use, durability, comfort, and long-term building requirements.",学習者の動きを統合持続可能な建築の概念に配慮した環境性能、材料の効率、気候変動、エネルギー使用、耐久性、快適性、長期的なビル。,782,782,782,782,NULL,NULL
8,2,Expert,専門家,"Develop expert-level ability to lead sustainable architectural design decisions across complex projects while balancing environmental goals, technical requirements, cost, aesthetics, durability, and user comfort. The level focuses on developing strong professional judgment and integrated sustainable design strategies.",環境目標、技術要件、コスト、美しさ、耐久性、ユーザーの快適さのバランスをとりながら、複雑なプロジェクト全体で持続可能な建築設計の決定を導く専門家レ レベルは、強力な専門的判断と統合された持続可能な設計戦略の開発に焦点を当てています。,"Learn advanced professional approaches to sustainable architecture by developing complete design strategies for complex projects. Learners study how to coordinate environmental goals with architectural form, material systems, building performance, user requirements, cost, durability, and project constraints. Topics include integrated passive design, advanced material selection, climate-responsive planning, resource efficiency, lifecycle thinking, and the relationship between environmental performance and architectural identity. Learners practice evaluating competing design solutions and making informed decisions when different requirements conflict. Expert-level project work focuses on developing original sustainable strategies that can guide an entire architectural project rather than isolated improvements. Learners also develop the ability to communicate environmental decisions clearly through professional drawings, design documentation, material studies, and project presentations.",,"Learners will be able to develop professional sustainable design strategies for complex architectural projects while balancing environmental performance, technical requirements, aesthetics, cost, durability, comfort, and resource efficiency.",学習者が専門的な持続可能なデザイン戦略のための複雑な建築プロジェクトのバランスをとりつつ、環境性能、技術的要件、美学、コスト、耐久性、快適性、資源の効率。,973,973,973,973,NULL,NULL
9,3,Beginner,ビギナー,"Understand the basic elements of residential interior design, including room layouts, furniture placement, storage, lighting, colors, materials, proportions, and circulation. The level helps learners understand how interior spaces are organized around everyday activities and household needs.",部屋のレイアウト、家具の配置、貯蔵、照明、色、材料、割合、および循環を含む住宅のインテリア-デザインの基本的な要素を、理解しなさい。 このレベルは、学習者が日常の活動や家庭のニーズを中心に内部空間がどのように組織されているかを理解するのに役立ちます。,"Learn the basic principles of residential interior design, including room planning, furniture placement, circulation, storage, lighting, colors, materials, proportions, and functionality. Learners study how different rooms support everyday activities and how interior elements can be arranged to create comfortable and practical living spaces. The level introduces common residential areas such as living rooms, bedrooms, kitchens, dining spaces, bathrooms, and work areas. Learners explore basic floor plans and simple furniture layouts while learning how to consider the size and shape of a room. They also study how color, lighting, and materials can influence the atmosphere of a home. Simple planning exercises help learners develop an understanding of how individual design decisions work together within a residential interior.",,"Learners will be able to create basic residential layouts by applying principles of space planning, furniture placement, circulation, storage, lighting, color, materials, proportions, and everyday household requirements.",学習者は、空間計画、家具の配置、循環、保管、照明、色、材料、比率、および日常の家庭の要件の原則を適用することによって、基本的な住宅のレイアウトを作,269,269,269,269,NULL,NULL
10,3,Intermediate,中級,"Develop the ability to plan complete residential interiors based on user requirements, available space, room relationships, furniture needs, lighting, storage, and material choices. Learners begin making independent design decisions and creating practical layouts for different types of homes.",ユーザーの要求、利用可能なスペース、部屋の関係、家具の必要性、照明、貯蔵および材料の選択に基づいて完全な住宅の内部を計画する機能を開発しなさい。 学習者は独立した設計決定を行い、さまざまなタイプの家のための実用的なレイアウトを作成し始めます。,"Learn how to develop practical residential interiors based on user needs, available space, lifestyle, storage requirements, furniture, lighting, materials, and room relationships. Learners study how to organize complete floor plans and create better connections between different areas of a home. The level introduces more detailed planning methods, including zoning, circulation, furniture dimensions, lighting placement, color selection, and material coordination. Learners practice adapting layouts to different types of homes and different household requirements. They also explore how design choices can improve comfort and make everyday activities easier. Project work helps learners move from simple room arrangements to complete residential concepts while developing the ability to explain their design decisions through plans, visual references, material selections, and organized presentations.",,"Learners will be able to develop practical residential interiors based on user needs, available space, lifestyle, furniture, storage, lighting, materials, and relationships between different rooms.",学習者は、ユーザーのニーズ、利用可能なスペース、ライフスタイル、家具、収納、照明、材料、および異なる部屋間の関係に基づいて、実用的な住宅インテリアを開発,391,391,391,391,NULL,NULL
