id,course_id,skill_level,skill_level_jp,purpose,purpose_jp,learn_info,learn_info_jp,outcome,outcome_jp,price,price_jp,price_hk,price_in_points,created_at,updated_at
1,1,Beginner,ビギナー,"Prepare for job interviews by learning how to introduce yourself, answer common questions, discuss basic experience, and communicate professionally.",自己紹介、一般的な質問への答え、基本的な経験について話し合い、専門的にコミュニケーションする方法を学ぶことで、就職の面接の準備をします。,"Understand the purpose of a job interview, including how interviews are structured, what employers commonly look for, and how preparation can improve confidence.",面接がどのように構成されているか、雇用主が一般的に探しているもの、準備がどのように自信を向上させるかなど、就職の面接の目的を理解します。,"Prepare clear and confident interview answers, introduce yourself professionally, discuss your skills and experience, and respond effectively to common interview questions.",明確かつ自信を持って面接の答えを準備し、専門的に自己紹介し、あなたのスキルと経験を議論し、一般的な面接の質問に効果的に対応します。,237,237,237,237,NULL,NULL
2,1,Intermediate,中級,"Improve interview preparation by developing stronger answers, discussing skills and experience clearly, and practicing professional communication for different interview situations.",より強い答えを開発し、技術および経験をはっきり論議し、異なったインタビューの状態のための専門コミュニケーションを練習することによ,"Learn how to prepare relevant examples, organize answers, discuss skills and experience, and communicate clearly during different types of interview questions.",関連する例を準備し、答えを整理し、スキルと経験を議論し、インタビューの質問の異なるタイプの間に明確に通信する方法を学びます。,"Improve interview performance by giving stronger structured answers, explaining experience clearly, handling different question types, and communicating professionally during interviews.",より強力な構造化された回答を提供し、経験を明確に説明し、異なる質問タイプを処理し、インタビュー中に専門的に通信することによ,428,428,428,428,NULL,NULL
3,1,Advanced,アドバンスド,"Refine advanced interview skills through structured responses, challenging questions, professional storytelling, and thoughtful preparation for competitive interview situations.",構造化された応答、挑戦的な質問、プロのストーリーテリング、競争力のあるインタビューの状況のための思慮深い準備を通じて、高度な,"Develop a stronger understanding of challenging interview situations, including behavioral questions, professional storytelling, follow-up questions, and adapting answers to different roles.",行動的な質問、プロのストーリーテリング、フォローアップの質問、さまざまな役割への回答の適応など、挑戦的なインタビューの状況をより強く理解する。,"Handle challenging interview situations by using structured responses, professional storytelling, thoughtful examples, and adaptable communication strategies for different roles.",構造化された応答、専門的なストーリーテリング、思慮深い例、およびさまざまな役割のための適応可能なコミュニケーション戦略を使用して、挑戦的な面接の状況を処理します。,716,716,716,716,NULL,NULL
4,1,Expert,専門家,"Develop a polished interview approach by combining confident communication, adaptable responses, strong answer structure, professional presentation, and independent preparation.",自信を持ってコミュニケーション、適応可能な応答、強力な回答構造、専門的なプレゼンテーション、および独立した準備を組み合わせることによ,"Learn how to independently prepare for interviews by researching roles, planning responses, practicing communication, and evaluating your presentation before the interview.",役割を調査し、応答を計画し、コミュニケーションを練習し、インタビューの前にあなたの提示を評価することによって独立してインタビューのために準備する方法を学びなさい。,"Conduct independent interview preparation by researching roles, planning responses, practicing communication, reviewing performance, and adapting answers to different interview situations.",役割を調査し、応答を計画し、コミュニケーションを練習し、性能を見直し、そして異なったインタビューの状態への答えを適応させることによ,1034,1034,1034,1034,NULL,NULL
5,2,Beginner,ビギナー,"Learn to organize a clear resume or CV by presenting education, skills, experience, achievements, and relevant information in an easy-to-read format.",読みやすい形式で教育、スキル、経験、成果、および関連情報を提示することにより、明確な履歴書や履歴書を整理することを学びます。,"Understand the main purpose of a resume or CV, including how personal information, education, skills, experience, and achievements are organized for applications.",個人情報、教育、スキル、経験、および実績がアプリケーションのためにどのように組織されているかなど、履歴書または履歴書の主な目的を理解します。,"Create a clear and organized resume or CV that presents education, skills, experience, achievements, and relevant information professionally.",教育、スキル、経験、成果、および関連情報を専門的に提示する明確で組織的な履歴書または履歴書を作成します。,181,181,181,181,NULL,NULL
6,2,Intermediate,中級,"Improve resume and CV quality by strengthening descriptions, organizing information effectively, highlighting relevant experience, and adapting content for different opportunities.",説明を強化し、情報を効果的に整理し、関連する経験を強調し、さまざまな機会にコンテンツを適応させることにより、履歴書と履歴書の品質を向上させます。,"Learn how to improve resume content by writing clearer descriptions, highlighting relevant experience, organizing sections, and adjusting information for different opportunities.",より明確な説明を書いたり、関連する経験を強調したり、セクションを整理したり、さまざまな機会に合わせて情報を調整したりすることで、レジュメの内容を改善する方法を学びます。,"Improve resume content by writing stronger descriptions, highlighting relevant experience, organizing sections effectively, and adapting information for different job opportunities.",より強力な説明を書いたり、関連する経験を強調したり、セクションを効果的に整理したり、さまざまな雇用機会に合わせて情報を適応させたりすることで、履歴書の内容を改善します。,467,467,467,467,NULL,NULL
7,2,Advanced,アドバンスド,"Refine professional application documents through targeted content, achievement-focused descriptions, stronger writing, effective organization, and careful presentation.",目標とされた内容、達成集中された記述、より強い執筆、有効な構成および注意深い提示によって専門の応募書類を精製しなさい。,"Explore advanced resume and CV techniques, including targeted content, achievement-focused writing, stronger professional summaries, document organization, and adapting applications to specific roles.",ターゲットを絞ったコンテンツ、達成に焦点を当てた執筆、より強力な専門的な要約、文書編成、および特定の役割へのアプリケーションの適応など、高度な履歴書と履歴書のテクニックを探ります。,"Create targeted professional application documents using achievement-focused writing, relevant content, strong organization, and clear presentation for specific career opportunities.",特定のキャリアの機会のための達成集中された執筆、関連した内容、強い構成および明確な提示を使用して目標とされた専門の応募書類を作成,782,782,782,782,NULL,NULL
8,2,Expert,専門家,"Develop a polished resume or CV strategy by creating adaptable professional documents that clearly communicate experience, strengths, achievements, and career direction.",経験、強み、成果、キャリアの方向性を明確に伝える適応可能な専門的な文書を作成することにより、洗練された履歴書またはCV戦略を開発します。,"Learn how to independently review and improve professional application documents by checking clarity, relevance, structure, consistency, and the way experience and strengths are presented.",明確さ、関連性、構造、一貫性、および経験と強みが提示される方法をチェックすることにより、プロの申請書類を独自に見直し、改善する方法を学びます。,"Independently review and improve resumes or CVs by checking clarity, relevance, structure, consistency, and how effectively experience and strengths are presented.",独立して明快さ、関連性、構造、一貫性、およびいかに効果的に経験および強さが示されるか点検によって概要かCvを見直し、改善しなさい。,973,973,973,973,NULL,NULL
9,3,Beginner,ビギナー,"Build basic workplace communication skills by learning how to communicate clearly with colleagues, participate in discussions, write simple messages, and respond appropriately.",同僚と明確にコミュニケーションをとり、議論に参加し、簡単なメッセージを書き、適切に対応する方法を学ぶことにより、職場の基本的なコミュ,"Understand the foundations of workplace communication, including professional conversations, clear messages, active listening, teamwork, meetings, feedback, and appropriate workplace language.",専門的な会話、明確なメッセージ、アクティブなリスニング、チームワーク、会議、フィードバック、適切な職場言語など、職場コミュニケーションの基礎を理解します。,"Communicate clearly in everyday workplace situations by participating in discussions, writing professional messages, listening actively, and responding appropriately.",議論に参加し、専門的なメッセージを書いて、積極的に聞いて、適切に対応することにより、日常の職場の状況で明確に通信します。,269,269,269,269,NULL,NULL
10,3,Intermediate,中級,"Improve workplace communication by practicing clearer explanations, active listening, professional messages, feedback, teamwork, and communication for different work situations.",明確な説明、アクティブなリスニング、プロのメッセージ、フィードバック、チームワーク、およびさまざまな作業状況のためのコミュ,"Learn how to communicate more effectively at work by adapting your tone, explaining ideas clearly, listening actively, participating in discussions, and responding appropriately.",あなたのトーンを適応させ、アイデアを明確に説明し、積極的に聞いて、議論に参加し、適切に対応することによって、職場でより効果的にコミュニケーシ,"Improve workplace communication by explaining ideas clearly, using appropriate professional language, giving feedback, collaborating with colleagues, and adapting communication to different situations.",アイデアを明確に説明し、適切な専門的な言語を使用して、フィードバックを与え、同僚と協力し、さまざまな状況にコミュニケーションを適応させることで、職場のコミュニケーションを向上させます。,391,391,391,391,NULL,NULL
