id,title,title_jp,slug,summary,summary_jp,description,description_jp,meta_title,meta_description,meta_keyword,photo,stock,size,condition,status,price,price_in_points,price_jp,price_hk,discount,is_featured,extra_description,extra_description_jp,cat_id,child_cat_id,brand_id,duration,skill_level,skill_level_jp,lectures,language,language_jp,genres,created_at,updated_at
1,English Conversation Basics,英会話の基礎知識,english-conversation-basics,"English Conversation Basics helps learners build confidence in everyday English speaking, listening, vocabulary, and simple conversations. Practice useful phrases and communication skills for real-life situations at your own pace.",英会話の基本は、学習者が日常の英語を話す、リスニング、語彙、簡単な会話に自信を構築するのに役立ちます。 あなた自身のペースで現実の状況のための有用なフレーズやコミュニケーションスキルを練習します。,"English Conversation Basics helps learners build confidence in everyday English communication through practical speaking and listening activities. The course introduces useful vocabulary, common expressions, sentence patterns, pronunciation, and conversation techniques for real-life situations. Learners practice introducing themselves, asking and answering questions, discussing familiar topics, and responding naturally in simple conversations. Lessons are designed to make English easier to understand and use without overwhelming beginners. By working through practical examples and repeated communication exercises, learners can gradually improve their speaking confidence, listening awareness, vocabulary, and ability to communicate clearly in everyday settings.",英会話の基礎は、実践的なスピーキングとリスニング活動を通じて、学習者が日常の英語コミュニケーションに自信を構築するのに役立ちます。 このコースでは、実際の状況に役立つ語彙、一般的な表現、文のパターン、発音、会話テクニックを紹介します。 学習者は自己紹介をしたり、質問をしたり答えたり、身近な話題について話し合ったり、簡単な会話で自然に反応したりする練習をします。 レッスンは、圧倒的な初心者なしで英語を理解し、使用しやすくするために設計されています。 実践的な例と繰り返しのコミュニケーション演習を通じて作業することにより、学習者は徐々に彼らの話す自信、リスニング意識、語彙、および日常の設定で明確に通信する能力を向上させることができます。,English Conversation Basics | Learn to Speak Confidently,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/1.webp,999999,NULL,NULL,active,35,35,35,35,0,1,,,1,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
2,Japanese for Everyday Life,日常生活のための日本語,japanese-for-everyday-life,"Japanese for Everyday Life introduces practical Japanese vocabulary, phrases, and conversation skills for common daily situations. Build confidence with useful expressions for shopping, travel, introductions, routines, and everyday communication.",日常生活のための日本語は、一般的な日常の状況のための実用的な日本語の語彙、フレーズ、会話スキルを紹介します。 買い物、旅行、紹介、ルーチン、日常のコミュニケーションのための有用な表現との自信を構築します。,"Japanese for Everyday Life introduces practical Japanese language skills for common situations learners may encounter at home, while traveling, shopping, studying, or interacting with others. The course covers useful vocabulary, greetings, everyday expressions, basic sentence patterns, numbers, time, directions, and simple conversations. Learners practice forming natural responses and understanding frequently used phrases through approachable examples and activities. The lessons focus on building a useful foundation rather than memorizing complicated grammar. By completing the course, learners can become more comfortable recognizing and using basic Japanese expressions in familiar everyday situations while developing a stronger foundation for continued language learning.",日常生活のための日本語は、旅行、買い物、勉強、または他の人との交流中に、学習者が自宅で遭遇する可能性があります一般的な状況のための実用的な日本語スキルを紹介します。 このコースでは、有用な語彙、挨拶、日常の表現、基本的な文のパターン、数字、時間、方向、簡単な会話をカバーしています。 学習者は、親しみやすい例や活動を通じて、自然な反応を形成し、頻繁に使用されるフレーズを理解する練習をします。 レッスンでは、複雑な文法を暗記するのではなく、有用な基盤を構築することに焦点を当てています。 このコースを修了することで、学習者は身近な日常生活の中で基本的な日本語表現を認識し、使用することがより快適になり、継続的な言語学習のためのより強力な基盤を開発することができます。,Japanese for Everyday Life | Practical Japanese Lessons,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/2.webp,999999,NULL,NULL,active,38,38,38,38,0,1,,,1,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
3,Korean for Beginners,初心者のための韓国語,korean-for-beginners,"Korean for Beginners provides a simple introduction to Korean vocabulary, basic grammar, pronunciation, and everyday expressions. Learn useful language foundations through clear lessons designed to help beginners start communicating with confidence.",初心者のための韓国語は、韓国語の語彙、基本的な文法、発音、日常の表現に簡単な紹介を提供します。 初心者が自信を持ってコミュニケーションを始めるのを助けるように設計された明確なレッスンを通して有用な言語の基礎を学びます。,"Korean for Beginners provides a friendly introduction to the Korean language for learners starting from the basics. The course explores essential vocabulary, pronunciation, greetings, simple grammar, sentence structures, and commonly used expressions. Learners gradually practice introducing themselves, asking simple questions, responding to everyday situations, and understanding familiar Korean phrases. Lessons are organized to make the language approachable and easy to practice, with attention to building a strong foundation before moving toward more complex communication. Through repeated examples and practical activities, learners can develop greater confidence with basic Korean and prepare for continued study and everyday communication.",初心者のための韓国語は、基本から始まる学習者のための韓国語へのフレンドリーな紹介を提供します。 このコースでは、本質的な語彙、発音、挨拶、簡単な文法、文構造、一般的に使用される表現を探ります。 学習者は徐々に自己紹介を練習し、簡単な質問をし、日常の状況に対応し、おなじみの韓国語のフレーズを理解します。 レッスンは、より複雑なコミュニケーションに向かって移動する前に、強力な基盤を構築することに注意して、言語が親しみやすく、練習しやすいよう 繰り返しの例と実践的な活動を通じて、学習者は基本的な韓国語とのより大きな自信を開発し、継続的な研究と日常のコミュニケーションのために準,Korean for Beginners | Learn Korean Step by Step,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/3.webp,999999,NULL,NULL,active,42,42,42,42,0,0,,,1,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
4,Thai Language Basics,タイ語の基礎,thai-language-basics,"Thai Language Basics helps beginners learn essential Thai words, phrases, pronunciation, and everyday communication skills. Build a practical foundation for simple conversations, travel situations, introductions, and common daily interactions.",タイ語の基礎は、初心者が本質的なタイ語の単語、フレーズ、発音、日常のコミュニケーションスキルを学ぶのに役立ちます。 簡単な会話、旅行の状況、紹介、および一般的な日常の相互作用のための実用的な基盤を構築します。,"Thai Language Basics introduces beginners to essential Thai language skills through practical vocabulary, pronunciation, greetings, common expressions, and simple sentence patterns. Learners explore language used in familiar situations such as introductions, shopping, ordering food, asking for directions, and basic everyday conversations. The course focuses on making Thai approachable through clear examples and useful practice rather than overwhelming learners with complex language structures. Learners can gradually become more comfortable recognizing common words and expressions while improving their ability to form simple responses. The course provides a practical starting point for anyone interested in learning Thai for everyday communication, travel, or further study.",タイ語の基礎は、実用的な語彙、発音、挨拶、一般的な表現、簡単な文のパターンを通じて不可欠なタイ語のスキルに初心者を紹介します。 学習者は、紹介、買い物、食べ物の注文、道順の質問、基本的な日常会話など、身近な状況で使用される言語を探索します。 このコースでは、複雑な言語構造を持つ学習者を圧倒するのではなく、明確な例と有用な練習を通してタイ語を親しみやすくすることに焦点を当て 学習者は、簡単な応答を形成する能力を向上させながら、徐々に一般的な単語や表現を認識し、より快適になることができます。 このコースは、日常のコミュニケーション、旅行、またはさらなる研究のためにタイ語を学ぶことに興味のある人のための実用的な出発点を提供します。,Thai Language Basics | Easy Thai for Beginners,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/4.webp,999999,NULL,NULL,active,36,36,36,36,0,0,,,1,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
5,Business English Essentials,ビジネス英語の必需品,business-english-essentials,"Business English Essentials focuses on practical English communication for professional situations. Learn useful vocabulary, workplace expressions, emails, meetings, presentations, and communication techniques that can help you communicate more clearly at work.",ビジネス英語Essentialsは、プロの状況のための実用的な英語コミュニケーションに焦点を当てています。 職場でより明確にコミュニケーションをとるのに役立つ、有用な語彙、職場の表現、電子メール、会議、プレゼンテーション、およびコミュニケーションテクニックを学びます。,"Business English Essentials helps learners develop practical English communication skills for professional and workplace situations. The course covers useful business vocabulary, professional expressions, workplace conversations, emails, meetings, presentations, and common communication scenarios. Learners practice expressing ideas clearly, asking questions, responding appropriately, and communicating in a professional tone. The lessons use practical examples that reflect situations learners may encounter during everyday work activities. By building familiarity with common workplace language and communication patterns, learners can improve their confidence when writing messages, participating in discussions, attending meetings, and handling professional conversations. The course provides a useful foundation for continued development of workplace English skills.",ビジネス英語Essentialsは、学習者が専門家や職場の状況のための実用的な英語のコミュニケーションスキルを開発するのに役立ちます。 このコースでは、有用なビジネス語彙、専門的な表現、職場での会話、電子メール、会議、プレゼンテーション、および一般的な通信シナリオをカバーしています。 学習者は、アイデアを明確に表現し、質問をし、適切に対応し、専門的な口調でコミュニケーションをとる練習をします。 レッスンでは、学習者が日常の仕事活動中に遭遇する可能性のある状況を反映した実践的な例を使用します。 共通の職場の言語とコミュニケーションパターンに精通していることで、学習者はメッセージを書いたり、ディスカッションに参加したり、会議に出席したり、プロの会話を処理したりする際の自信を高めることができます。 このコースは、職場の英語スキルの継続的な開発のための有用な基盤を提供します。,Business English Essentials | Workplace Communication Skills,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/5.webp,999999,NULL,NULL,active,40,40,40,40,0,1,,,1,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
6,Job Interview Skills,就職の面接のスキル,job-interview-skills,"Job Interview Skills helps learners prepare for interviews by practicing common questions, clear answers, professional communication, and confident presentation. Build practical interview skills and learn how to organize your responses for different workplace situations.",就職の面接の技術は学習者が共通の質問、明確な答え、専門コミュニケーションおよび確信した提示の練習によってインタビューのために準備するのを助ける。 実践的な面接スキルを構築し、さまざまな職場の状況に応じて回答を整理する方法を学びます。,"Job Interview Skills helps learners prepare for interviews by developing practical communication, presentation, and response skills. The course covers common interview questions, self-introductions, discussing strengths and experience, explaining career goals, and responding clearly under pressure. Learners explore ways to organize answers, communicate professionally, maintain a confident tone, and handle different interview situations. Practical examples and activities help learners understand how to prepare before an interview and communicate effectively during the conversation. The course provides useful preparation for learners entering the job market or looking to improve their approach to professional interviews.",就職の面接の技術は学習者が実用的なコミュニケーション、提示および応答の技術の開発によってインタビューのために準備するのを助ける。 このコースでは、一般的なインタビューの質問、自己紹介、強みと経験の議論、キャリア目標の説明、圧力の下で明確に対応することをカバーしています。 学習者は答えを整理し、専門的に伝達し合い、確信した調子を維持し、異なったインタビューの状態を扱う方法を探検する。 実践的な例と活動は、学習者がインタビューの前に準備し、会話中に効果的に通信する方法を理解するのに役立ちます。 このコースは、就職市場に参入したり、プロのインタビューへのアプローチを改善しようとしている学習者のための有用な準備を提供します。,Job Interview Skills | Prepare for Your Next Interview,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/6.webp,999999,NULL,NULL,active,44,44,44,44,0,0,,,2,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
7,Resume & CV Writing,履歴書-履歴書の書き方,resume-cv-writing,"Resume & CV Writing teaches practical techniques for creating clear, organized, and professional resumes and CVs. Learn how to present your experience, skills, achievements, and education in a way that makes your application easier to understand.",概要及びCVの執筆は明確な、組織化された、専門の概要およびCvを作成するための実用的な技術を教える。 あなたのアプリケーションを理解しやすくする方法であなたの経験、スキル、成果、および教育を提示する方法を学びます。,"Resume & CV Writing helps learners create clear, organized, and professional resumes or CVs that present their experience and abilities effectively. The course explores important sections such as personal summaries, education, work experience, skills, achievements, and relevant projects. Learners practice writing concise descriptions, organizing information, choosing suitable formats, and presenting their background in an easy-to-read structure. The lessons also explain how to adapt resume content for different roles and keep information relevant to the opportunity. By completing the course, learners can develop stronger resume-writing habits and create professional application documents with greater clarity and confidence.",履歴書と履歴書の書き方は、学習者が自分の経験と能力を効果的に提示する、明確で整理された、専門的な履歴書や履歴書を作成するのに役立ちます。 このコースでは、個人的な要約、教育、仕事の経験、スキル、成果、関連するプロジェクトなどの重要なセクションを探ります。 学習者は、簡潔な説明を書いたり、情報を整理したり、適切な形式を選択したり、読みやすい構造で背景を提示したりする練習をします。 レッスンでは、履歴書の内容をさまざまな役割に適応させ、機会に関連する情報を保持する方法についても説明します。 コースを完了することにより、学習者はより強い履歴書を書く習慣を開発し、より明確で自信を持って専門的な申請書類を作成することができます。,Resume & CV Writing | Build a Better Resume,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/7.webp,999999,NULL,NULL,active,30,30,30,30,0,1,,,2,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
8,Workplace Communication,職場コミュニケーション,workplace-communication,"Workplace Communication helps learners communicate more clearly and confidently in professional environments. Practice workplace conversations, messages, meetings, teamwork, feedback, and everyday communication skills that support productive professional relationships.",職場でのコミュニケーションは、学習者がプロフェッショナルな環境でより明確かつ自信を持ってコミュニケーションをとるのに役立ちます。 職場での会話、メッセージ、会議、チームワーク、フィードバック、生産的な専門家との関係をサポートする日常のコミュニケーションスキルを練習します。,"Workplace Communication helps learners develop practical communication skills for everyday professional environments. The course covers conversations with colleagues, workplace messages, meetings, teamwork, feedback, requests, and sharing ideas clearly. Learners practice choosing appropriate language for different situations, listening carefully, responding thoughtfully, and maintaining a professional communication style. The lessons use familiar workplace scenarios to make the concepts easy to understand and apply. Learners also explore ways to avoid common communication problems and handle everyday discussions more effectively. The course supports stronger communication habits that can be useful across different teams, roles, and professional situations.",職場でのコミュニケーションは、学習者が日常の専門的な環境のための実践的なコミュニケーシ このコースでは、同僚との会話、職場のメッセージ、会議、チームワーク、フィードバック、要求、アイデアの明確な共有をカバーしています。 学習者は、さまざまな状況に応じて適切な言語を選択し、注意深く聞き、思慮深く対応し、プロのコミュニケーションスタイルを維持する練習をします。 レッスンでは、使い慣れた職場のシナリオを使用して、概念を理解し、適用しやすくします。 学習者はまた、一般的なコミュニケーションの問題を回避し、日常の議論をより効果的に処理する方法を模索します。 このコースでは、さまざまなチーム、役割、および専門的な状況で役立つ、より強力なコミュニケーション習慣をサポートします。,Workplace Communication | Communicate Better at Work,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/8.webp,999999,NULL,NULL,active,34,34,34,34,0,1,,,2,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
9,Leadership Basics,リーダーシップの基礎,leadership-basics,"Leadership Basics introduces practical leadership skills for people starting to manage responsibilities and work with others. Learn about communication, decision-making, teamwork, responsibility, problem-solving, and building positive working relationships.",リーダーシップの基礎は責任を管理し、他と働き始める人々のための実用的なリーダーシップの技術を導入する。 コミュニケーション、意思決定、チームワーク、責任、問題解決、および肯定的な作業関係の構築について学びます。,"Leadership Basics introduces learners to practical leadership concepts that can be useful when working with teams or taking responsibility for projects. The course explores communication, teamwork, decision-making, delegation, problem-solving, goal setting, accountability, and supporting others. Learners examine common workplace situations and practice thinking through leadership challenges in a structured way. The lessons focus on building practical habits rather than relying only on theory, helping learners understand how effective leaders communicate and make thoughtful decisions. This course provides a useful foundation for learners who want to develop leadership confidence and prepare for responsibilities involving teamwork or coordination.",リーダーシップの基本は、チームと協力したり、プロジェクトに責任を持ったりするときに役立つ実践的なリーダーシップの概念を学習者に紹介します。 このコースでは、コミュニケーション、チームワーク、意思決定、委任、問題解決、目標設定、説明責任、および他の人を支援することを探ります。 学習者は共通の仕事場の状態を検査し、構造化された方法でリーダーシップの挑戦によって考えることを練習する。 レッスンでは、理論だけに頼るのではなく、実践的な習慣を構築することに焦点を当て、学習者が効果的な指導者がどのように通信し、思慮深い決定を下すかを理解するのを助けます。 このコースは、リーダーシップの自信を開発し、チームワークや調整を含む責任のために準備したい学習者のための有用な基盤を提供します。,Leadership Basics | Build Essential Leadership Skills,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/9.webp,999999,NULL,NULL,active,32,32,32,32,0,0,,,2,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
10,Digital Marketing Fundamentals,デジタルマーケティングの基礎,digital-marketing-fundamentals,"Digital Marketing Fundamentals introduces the core ideas behind modern digital marketing. Learn about social media, content, search, online campaigns, audiences, and basic marketing strategies through practical lessons designed for beginners.",デジタルマーケティングの基礎現代のデジタルマーケティングの背後にあるコアアイデアを紹介します。 ソーシャルメディア、コンテンツ、検索、オンラインキャンペーン、オーディエンス、および基本的なマーケティング戦略について、初心者向けに設計された実践的なレッスンで学びます。,"Digital Marketing Fundamentals introduces learners to the main concepts used in modern digital marketing. The course explores content, social media, search, online audiences, digital campaigns, basic analytics, and marketing planning. Learners discover how businesses communicate with audiences across different digital channels and how marketing activities can be organized around clear goals. Practical examples help learners understand common digital marketing terms and processes without requiring advanced experience. The course also introduces basic ideas around creating useful content, understanding audiences, and reviewing campaign performance. It provides a practical starting point for learners interested in marketing, business, content, or digital communication.",デジタルマーケティングの基礎は、現代のデジタルマーケティングで使用される主な概念に学習者を紹介します。 このコースでは、コンテンツ、ソーシャルメディア、検索、オンラインオーディエンス、デジタルキャンペーン、基本的な分析、マーケティング計画について説明します。 学習者は、企業がさまざまなデジタルチャネル間でオーディエンスとどのようにコミュニケーションをとるか、明確な目標を中心にマーケティング活動をどのように整理できるかを発見します。 実践的な例は、学習者が高度な経験を必要とせずに一般的なデジタルマーケティングの用語とプロセスを理解するのに役立ちます。 また、有用なコンテンツの作成、視聴者の理解、キャンペーンのパフォーマンスの確認に関する基本的なアイデアも紹介します。 これは、マーケティング、ビジネス、コンテンツ、またはデジタル通信に興味を持って学習者のための実用的な出発点を提供します。,Digital Marketing Fundamentals | Learn Digital Marketing,"Learn practical skills through engaging online courses in languages, career, technology, creative skills, and everyday life. Build knowledge, practice at your own pace, and learn useful skills for study, work, and personal growth.","online courses, online learning, language courses, career skills, technology courses, creative courses, life skills, Japanese courses, Korean courses, English courses, digital skills, professional skills, beginner courses, skill development, online education, practical learning, self-paced courses",storage/photos/products/10.webp,999999,NULL,NULL,active,33,33,33,33,0,0,,,2,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
